image_size,orientations,pixels_per_cell,cells_per_block,preprocessing,feature_dim,accuracy,macro_precision,macro_recall,macro_f1,seconds
64x64,6,8x8,3x3,gray_clahe,1944,0.9836601307189542,0.9854740847387906,0.9659090909090909,0.9746477177944897,1.950026512145996
64x64,6,8x8,3x3,gray_clahe_blur,1944,0.9836601307189542,0.9828809966914805,0.9696969696969697,0.9760182302129369,1.4149515628814697
64x64,6,16x16,1x1,gray,96,0.9313725490196079,0.9133648129873881,0.9098162475822051,0.911478072711616,0.5505435466766357
64x64,6,16x16,1x1,gray_clahe,96,0.9117647058823529,0.8818264693264692,0.8913604126370084,0.8858646346894298,0.858184814453125
64x64,6,16x16,1x1,gray_clahe_blur,96,0.9575163398692811,0.9499549952388175,0.9358478401031594,0.9425844988344988,0.8731434345245361
64x64,6,16x16,2x2,gray,216,0.9444444444444444,0.9119041748613828,0.9287556415215991,0.9192254069079961,0.6184000968933105
64x64,6,16x16,2x2,gray_clahe,216,0.9640522875816994,0.9523164335664336,0.9454384268214056,0.9488003771306642,0.8477773666381836
64x64,6,16x16,2x2,gray_clahe_blur,216,0.9803921568627451,0.9786718685329081,0.9603481624758221,0.9685259263560991,0.9926528930664062
64x64,6,16x16,3x3,gray,216,0.9607843137254902,0.9481755733292169,0.9532559638942618,0.9506350017031285,0.535879373550415
64x64,6,16x16,3x3,gray_clahe,216,0.9509803921568627,0.9243052190940129,0.9383462282398454,0.9305713622351992,0.8360342979431152
64x64,6,16x16,3x3,gray_clahe_blur,216,0.9607843137254902,0.9469073593235325,0.949468085106383,0.9480674106302961,0.8132646083831787
64x64,9,4x4,1x1,gray,2304,0.9836601307189542,0.9775457129934741,0.9795293359123146,0.9785203870238521,6.721136808395386
64x64,9,4x4,1x1,gray_clahe,2304,0.9803921568627451,0.9733662141420556,0.9699387491940683,0.9715840337340897,3.708815336227417
64x64,9,4x4,1x1,gray_clahe_blur,2304,0.9836601307189542,0.9750827282831491,0.9717117988394585,0.9733286030878416,6.948770046234131
64x64,9,4x4,2x2,gray,8100,0.9901960784313726,0.9815627743634767,0.9888781431334623,0.9851405566154192,3.85286545753479
64x64,9,4x4,2x2,gray_clahe,8100,0.9836601307189542,0.9733455882352942,0.9717117988394585,0.9724168644867641,4.316104888916016
64x64,9,4x4,2x2,gray_clahe_blur,8100,0.9869281045751634,0.9793440919195127,0.979287556415216,0.9792873390084096,4.40926194190979
64x64,9,4x4,3x3,gray,15876,0.9901960784313726,0.9835084033613446,0.9888781431334623,0.9861369310033463,5.267377614974976
64x64,9,4x4,3x3,gray_clahe,15876,0.9803921568627451,0.9680243264198488,0.9699387491940683,0.968964590382459,11.223974466323853
64x64,9,4x4,3x3,gray_clahe_blur,15876,0.9836601307189542,0.9770659944515578,0.9717117988394585,0.9743311753029067,11.174950361251831
64x64,9,8x8,1x1,gray,576,0.9738562091503268,0.9665969395447007,0.9603481624758221,0.9631945631123262,8.412883281707764
64x64,9,8x8,1x1,gray_clahe,576,0.9771241830065359,0.9642929831362668,0.9661508704061896,0.9652051918862183,8.7574303150177
64x64,9,8x8,1x1,gray_clahe_blur,576,0.9869281045751634,0.9793440919195127,0.979287556415216,0.9792873390084096,7.89227032661438
64x64,9,8x8,2x2,gray,1764,0.9738562091503268,0.96711879112502,0.9545454545454546,0.9605127602660497,1.4053261280059814
64x64,9,8x8,2x2,gray_clahe,1764,0.9803921568627451,0.9788825757575758,0.9621212121212122,0.9699513936356041,2.7827916145324707
64x64,9,8x8,2x2,gray_clahe_blur,1764,0.9803921568627451,0.9754353233830845,0.9659090909090909,0.9704439990853699,3.2510476112365723
64x64,9,8x8,3x3,gray,2916,0.9934640522875817,0.9857142857142858,0.9924242424242424,0.9888009049773756,1.9049670696258545
64x64,9,8x8,3x3,gray_clahe,2916,0.9836601307189542,0.9808632227987066,0.9696969696969697,0.9750386790439607,3.2426066398620605
64x64,9,8x8,3x3,gray_clahe_blur,2916,0.9803921568627451,0.9752604166666666,0.9659090909090909,0.9704453441295546,3.0163462162017822
64x64,9,16x16,1x1,gray,144,0.934640522875817,0.9243317969794285,0.8964377820760799,0.9074465825580901,1.0231819152832031
64x64,9,16x16,1x1,gray_clahe,144,0.9313725490196079,0.9163411879792269,0.9042553191489362,0.9093508094394191,1.442864179611206
64x64,9,16x16,1x1,gray_clahe_blur,144,0.9313725490196079,0.907486388384755,0.9095744680851064,0.906559384703861,1.5615429878234863
64x64,9,16x16,2x2,gray,324,0.9640522875816994,0.9442844871224556,0.9532559638942618,0.9485449422838641,1.5145113468170166
64x64,9,16x16,2x2,gray_clahe,324,0.9738562091503268,0.9754103535353535,0.9585751128304321,0.9664426217057795,1.8341448307037354
